case_number,claimant,respondents,status
ARB/23/23,Basel LLC and Ronald Waldmann,Georgia,Pending
ARB/23/22,"Enerflex US Holdings Inc. and Exterran Energy Solutions, L.P.",United Mexican States,Pending
ARB/23/21,Gruppo Officine Piccini S.p.A.,Republic of Cameroon,Pending
ARB/23/20,"AVZ International Pty Ltd., Dathcom Mining SA and Green Lithium Holdings Pte Ltd.",Democratic Republic of the Congo,Pending
ARB/23/19,"Korea National Oil Corporation, KNOC Nigerian West Oil Company Limited, and KNOC Nigerian East Oil Company Limited",Federal Republic of Nigeria,Pending
ARB/23/18,"Zenith Energy Africa Ltd., Zenith Overseas Assets Ltd. and Compagnie du Désert Ltd.",Republic of Tunisia,Pending
ARB/23/17,Juan Carlos Arguello and Ernesto Arguello,Republic of Honduras,Pending
ARB/23/16,"Kurt Harald Grüninger, Alexandra Grüninger, and Sascha Spittel",Republic of Costa Rica,Pending
ARB/23/15,Access Business Group LLC,United Mexican States,Pending
ARB/23/14,Suntech Power International Ltd.,Italian Republic,Pending
ARB/23/13,Norfund and KLP Norfund Investments AS,Republic of Honduras,Pending
ARB/23/12,Scatec ASA,Republic of Honduras,Pending
ARB/23/11,Operadora Ecológica del Titicaca S.A.C.,Republic of Peru,Pending
ARB/23/10,"Autopistas del Atlántico, S.A. de C.V. and others",Republic of Honduras,Pending
ARB/23/9,EMS Shipping & Trading GmbH,Republic of Albania,Pending
ARB/23/8,China Machinery Engineering Corporation,Republic of Trinidad and Tobago,Pending
ARB/23/7,SIA Baltjura-Serviss,Kingdom of Norway,Pending
ARB/23/6,Sepadeve International LLC,United Mexican States,Pending
ARB/23/5,Ruby River Capital LLC,Canada,Pending
ARB/23/4,"Goldgroup Resources, Inc.",United Mexican States,Pending
ARB/23/3,"JLL Capital, S.A.P.I. de C.V.",Republic of Honduras,Pending
UNCT/23/2,Westmoreland Coal Company,Canada,Pending
ARB/23/2,"Honduras Próspera Inc., St. John’s Bay Development Company LLC, and Próspera Arbitration Center LLC",Republic of Honduras,Pending
ADM/23/1,PowerChina HuaDong Engineering Corporation and China Railway 18th Bureau Group Company Ltd,Socialist Republic of Vietnam,Pending
UNCT/23/1,Amerra Capital Management LLC and others,United Mexican States,Pending
ARB/23/1,"Canal Extensia, S.A.U.",Republic of Colombia,Pending
ARB/22/34,Naftiran Intertrade Co. (NICO) Limited,Kingdom of Bahrain,Pending
ARB/22/33,Towra SA-SPF,Republic of Slovenia,Pending
ARB/22/32,Astronergy Solar Netherlands B.V.,Republic of Bulgaria,Pending
ARB/22/31,UAB Arctic Fishing,Kingdom of Norway,Pending
ARB/22/30,Bank of Nova Scotia,Republic of Peru,Pending
ARB/22/29,Vasilisa Ershova and Jegor Jeršov,Republic of Bulgaria,Pending
ARB/22/28,"Suffolk (Mauritius) Limited, Mansfield (Mauritius) Limited and Silver Point Mauritius",Portuguese Republic,Pending
ARB/22/27,"Doba Pipeline Investment Inc., Petronas (E&P) Overseas Ventures Sdn. Bhd, et Petronas Carigali Chad Exploration & Production Inc.",Republic of Cameroon,Concluded
ARB/22/26,Yoram Moussaieff,Republic of Panama,Pending
